# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0 0
39 0.9625 0 0
40 0.9875 0 0
41 1.0125 0 0
42 1.0375 0 0
43 1.0625 0 0
44 1.0875 0 0
45 1.1125 0 0
46 1.1375 0 0
47 1.1625 0 0
48 1.1875 30.6727 4
49 1.2125 0 4
50 1.2375 0 4
51 1.2625 0 4
52 1.2875 0 4
53 1.3125 0 4
54 1.3375 0 4
55 1.3625 0 4
56 1.3875 0 4
57 1.4125 0 4
58 1.4375 0 4
59 1.4625 0 4
60 1.4875 0 4
61 1.5125 0 4
62 1.5375 0 4
63 1.5625 0 4
64 1.5875 0 4
65 1.6125 0 4
66 1.6375 0 4
67 1.6625 0 4
68 1.6875 21.5845 8
69 1.7125 0 8
70 1.7375 0 8
71 1.7625 0 8
72 1.7875 0 8
73 1.8125 0 8
74 1.8375 0 8
75 1.8625 0 8
76 1.8875 0 8
77 1.9125 0 8
78 1.9375 0 8
79 1.9625 0 8
80 1.9875 0 8
81 2.0125 0 8
82 2.0375 0 8
83 2.0625 0 8
84 2.0875 0 8
85 2.1125 0 8
86 2.1375 0 8
87 2.1625 0 8
88 2.1875 0 8
89 2.2125 0 8
90 2.2375 0 8
91 2.2625 0 8
92 2.2875 0 8
93 2.3125 0 8
94 2.3375 0 8
95 2.3625 0 8
96 2.3875 15.256 12
97 2.4125 0 12
98 2.4375 0 12
99 2.4625 0 12
100 2.4875 0 12
100 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0485651 0.005
39 0.9625 0.425733 0.05
40 0.9875 0.899069 0.1475
41 1.0125 1.41648 0.305
42 1.0375 2.69887 0.6125
43 1.0625 2.80678 0.94
44 1.0875 3.22372 1.325
45 1.1125 2.66017 1.65
46 1.1375 2.42158 1.9525
47 1.1625 2.66325 2.2925
48 1.1875 2.22377 2.5825
49 1.2125 1.70854 2.81
50 1.2375 1.98675 3.08
51 1.2625 1.51465 3.29
52 1.2875 1.07857 3.4425
53 1.3125 1.33554 3.635
54 1.3375 1.08931 3.795
55 1.3625 1.00249 3.945
56 1.3875 0.73832 4.0575
57 1.4125 0.918653 4.2
58 1.4375 0.649294 4.3025
59 1.4625 0.700458 4.415
60 1.4875 0.642773 4.52
61 1.5125 0.797711 4.6525
62 1.5375 0.695902 4.77
63 1.5625 0.670198 4.885
64 1.5875 0.630964 4.995
65 1.6125 0.69177 5.1175
66 1.6375 0.528284 5.2125
67 1.6625 0.629885 5.3275
68 1.6875 0.661025 5.45
69 1.7125 0.624788 5.5675
70 1.7375 0.773023 5.715
71 1.7625 0.878304 5.885
72 1.7875 0.725929 6.0275
73 1.8125 0.778716 6.1825
74 1.8375 0.65662 6.315
75 1.8625 0.745588 6.4675
76 1.8875 0.735713 6.62
77 1.9125 0.797515 6.7875
78 1.9375 0.822473 6.9625
79 1.9625 0.869995 7.15
80 1.9875 0.962138 7.36
81 2.0125 0.825757 7.5425
82 2.0375 1.17316 7.805
83 2.0625 1.16998 8.07
84 2.0875 0.937858 8.285
85 2.1125 1.36859 8.6025
86 2.1375 1.38453 8.9275
87 2.1625 1.23167 9.22
88 2.1875 1.19678 9.5075
89 2.2125 1.19355 9.7975
90 2.2375 1.26161 10.1075
91 2.2625 1.21748 10.41
92 2.2875 1.12456 10.6925
93 2.3125 1.40773 11.05
94 2.3375 1.17842 11.3525
95 2.3625 1.25267 11.6775
96 2.3875 1.15374 11.98
97 2.4125 1.21727 12.3025
98 2.4375 1.018 12.575
99 2.4625 1.10011 12.8725
100 2.4875 0.924323 13.125
200 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0728476 0.0075
39 0.9625 0.473036 0.0575
40 0.9875 1.22181 0.19
41 1.0125 1.77622 0.3875
42 1.0375 2.3478 0.655
43 1.0625 2.7425 0.975
44 1.0875 3.13998 1.35
45 1.1125 2.98757 1.715
46 1.1375 2.46161 2.0225
47 1.1625 2.27159 2.3125
48 1.1875 2.03206 2.5775
49 1.2125 2.04649 2.85
50 1.2375 1.63723 3.0725
51 1.2625 1.33434 3.2575
52 1.2875 1.57365 3.48
53 1.3125 1.14475 3.645
54 1.3375 0.953146 3.785
55 1.3625 0.985782 3.9325
56 1.3875 0.836763 4.06
57 1.4125 0.950887 4.2075
58 1.4375 0.839331 4.34
59 1.4625 0.918378 4.4875
60 1.4875 0.688685 4.6
61 1.5125 0.752558 4.725
62 1.5375 0.755128 4.8525
63 1.5625 0.480794 4.935
64 1.5875 0.544923 5.03
65 1.6125 0.465886 5.1125
66 1.6375 0.806328 5.2575
67 1.6625 0.52034 5.3525
68 1.6875 0.499141 5.445
