# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
47 1.1625 2.05618 1.31
48 1.1875 2.17393 1.5125
49 1.2125 1.89254 1.6925
50 1.2375 1.49374 1.8375
51 1.2625 1.69136 2.005
52 1.2875 1.48524 2.155
53 1.3125 1.23841 2.2825
54 1.3375 1.31058 2.42
55 1.3625 1.07601 2.535
56 1.3875 1.24038 2.67
57 1.4125 1.21842 2.805
58 1.4375 0.975524 2.915
59 1.4625 0.828097 3.01
60 1.4875 0.599921 3.08
61 1.5125 1.20108 3.2225
62 1.5375 0.746244 3.3125
63 1.5625 0.632317 3.39
64 1.5875 0.702664 3.4775
65 1.6125 0.909183 3.5925
66 1.6375 0.836913 3.7
67 1.6625 1.0352 3.835
68 1.6875 0.812116 3.9425
69 1.7125 0.595542 4.0225
70 1.7375 0.660345 4.1125
71 1.7625 0.813723 4.225
72 1.7875 0.606214 4.31
73 1.8125 0.703356 4.41
74 1.8375 0.711131 4.5125
75 1.8625 0.701586 4.615
76 1.8875 0.827375 4.7375
77 1.9125 0.799895 4.8575
78 1.9375 0.806023 4.98
79 1.9625 0.714556 5.09
80 1.9875 0.994209 5.245
81 2.0125 0.696803 5.355
82 2.0375 0.766464 5.4775
83 2.0625 1.08168 5.6525
84 2.0875 1.19086 5.8475
85 2.1125 1.17677 6.0425
86 2.1375 1.25247 6.2525
87 2.1625 1.1643 6.45
88 2.1875 1.04901 6.63
89 2.2125 1.09477 6.82
90 2.2375 1.26771 7.0425
91 2.2625 1.14101 7.245
92 2.2875 1.08674 7.44
93 2.3125 1.04743 7.63
94 2.3375 0.995324 7.8125
95 2.3625 1.32205 8.0575
96 2.3875 1.10797 8.265
97 2.4125 0.964382 8.4475
98 2.4375 1.13754 8.665
99 2.4625 0.867145 8.8325
100 2.4875 1.10187 9.0475
300 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.101987 0.0075
39 0.9625 0.2649 0.0275
40 0.9875 0.613211 0.075
41 1.0125 1.57387 0.2
42 1.0375 1.50522 0.3225
43 1.0625 2.15972 0.5025
44 1.0875 2.34452 0.7025
45 1.1125 2.26319 0.9
46 1.1375 2.2975 1.105
47 1.1625 2.35776 1.32
48 1.1875 2.01289 1.5075
49 1.2125 1.86625 1.685
50 1.2375 1.57101 1.8375
51 1.2625 1.61563 1.9975
52 1.2875 1.46049 2.145
53 1.3125 1.60265 2.31
54 1.3375 1.47738 2.465
55 1.3625 1.28653 2.6025
56 1.3875 1.05662 2.7175
57 1.4125 0.970227 2.825
58 1.4375 0.909011 2.9275
59 1.4625 0.871681 3.0275
60 1.4875 0.985585 3.1425
61 1.5125 0.90608 3.25
62 1.5375 0.849889 3.3525
63 1.5625 1.04026 3.48
64 1.5875 0.983729 3.6025
65 1.6125 0.889418 3.715
66 1.6375 0.797987 3.8175
67 1.6625 0.613454 3.8975
68 1.6875 0.453274 3.9575
69 1.7125 0.669985 4.0475
70 1.7375 0.715374 4.145
71 1.7625 0.705227 4.2425
72 1.7875 0.873662 4.365
73 1.8125 0.861611 4.4875
74 1.8375 0.641753 4.58
75 1.8625 0.65025 4.675
76 1.8875 0.81049 4.795
77 1.9125 0.799895 4.915
78 1.9375 1.06921 5.0775
79 1.9625 0.714556 5.1875
80 1.9875 0.897996 5.3275
81 2.0125 1.06104 5.495
82 2.0375 0.891601 5.6375
83 2.0625 1.00441 5.8
84 2.0875 0.931315 5.9525
85 2.1125 0.829773 6.09
86 2.1375 0.805158 6.225
87 2.1625 1.31168 6.4475
88 2.1875 1.32583 6.675
89 2.2125 1.33966 6.9075
90 2.2375 1.09678 7.1
91 2.2625 1.18327 7.31
92 2.2875 1.22607 7.53
93 2.3125 1.13012 7.735
94 2.3375 1.11804 7.94
95 2.3625 1.09271 8.1425
96 2.3875 1.05457 8.34
97 2.4125 0.832274 8.4975
98 2.4375 1.09832 8.7075
99 2.4625 0.89303 8.88
100 2.4875 1.28124 9.13
400 100
1 0.0125 0 0
2 0.0375 0 0
