# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0 0
39 0.9625 0 0
40 0.9875 0 0
41 1.0125 0 0
42 1.0375 0 0
43 1.0625 26.6632 4
44 1.0875 0 4
45 1.1125 0 4
46 1.1375 0 4
47 1.1625 0 4
48 1.1875 0 4
49 1.2125 0 4
50 1.2375 0 4
51 1.2625 0 4
52 1.2875 0 4
53 1.3125 0 4
54 1.3375 0 4
55 1.3625 0 4
56 1.3875 0 4
57 1.4125 0 4
58 1.4375 0 4
59 1.4625 0 4
60 1.4875 19.0451 8
61 1.5125 0 8
62 1.5375 0 8
63 1.5625 0 8
64 1.5875 0 8
65 1.6125 0 8
66 1.6375 0 8
67 1.6625 0 8
68 1.6875 0 8
69 1.7125 0 8
70 1.7375 0 8
71 1.7625 0 8
72 1.7875 0 8
73 1.8125 0 8
74 1.8375 0 8
75 1.8625 0 8
76 1.8875 0 8
77 1.9125 0 8
78 1.9375 0 8
79 1.9625 0 8
80 1.9875 0 8
81 2.0125 0 8
82 2.0375 0 8
83 2.0625 0 8
84 2.0875 0 8
85 2.1125 13.4105 12
86 2.1375 0 12
87 2.1625 0 12
88 2.1875 0 12
89 2.2125 0 12
90 2.2375 0 12
91 2.2625 0 12
92 2.2875 0 12
93 2.3125 0 12
94 2.3375 0 12
95 2.3625 23.9828 20
96 2.3875 0 20
97 2.4125 0 20
98 2.4375 0 20
99 2.4625 0 20
100 2.4875 0 20
100 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.0582116 0.0075
38 0.9375 0.245523 0.04
39 0.9625 1.37969 0.2275
40 0.9875 2.67159 0.6
41 1.0125 3.79477 1.1425
42 1.0375 3.5668 1.665
43 1.0625 4.29944 2.31
44 1.0875 3.87497 2.905
45 1.1125 2.64198 3.32
46 1.1375 2.24146 3.68
47 1.1625 2.10188 4.025
48 1.1875 1.47612 4.2725
49 1.2125 1.13903 4.4675
50 1.2375 0.944321 4.6325
51 1.2625 0.911597 4.795
52 1.2875 0.728869 4.9275
53 1.3125 0.607063 5.04
54 1.3375 0.556002 5.145
55 1.3625 0.558795 5.2525
56 1.3875 0.752904 5.4
57 1.4125 0.363522 5.4725
58 1.4375 0.455737 5.565
59 1.4625 0.484267 5.665
60 1.4875 0.440419 5.7575
61 1.5125 0.56191 5.8775
62 1.5375 0.437612 5.9725
63 1.5625 0.645915 6.115
64 1.5875 0.479596 6.2225
65 1.6125 0.47216 6.33
66 1.6375 0.443326 6.4325
67 1.6625 0.372758 6.52
68 1.6875 0.377728 6.61
69 1.7125 0.444589 6.7175
70 1.7375 0.723526 6.895
71 1.7625 0.632896 7.0525
72 1.7875 0.792437 7.2525
73 1.8125 0.898733 7.4825
74 1.8375 0.847962 7.7025
75 1.8625 0.827073 7.92
76 1.8875 0.947448 8.1725
77 1.9125 1.12022 8.475
78 1.9375 1.26113 8.82
79 1.9625 1.36235 9.1975
80 1.9875 1.63029 9.655
81 2.0125 1.53965 10.0925
82 2.0375 1.84229 10.6225
83 2.0625 1.71695 11.1225
84 2.0875 1.62005 11.6
85 2.1125 1.59249 12.075
86 2.1375 1.5573 12.545
87 2.1625 1.31823 12.9475
88 2.1875 1.57027 13.4325
89 2.2125 1.23242 13.8175
90 2.2375 1.1316 14.175
91 2.2625 1.09562 14.525
92 2.2875 1.04495 14.8625
93 2.3125 0.811605 15.1275
94 2.3375 0.772626 15.3825
95 2.3625 0.966805 15.705
96 2.3875 0.845439 15.99
97 2.4125 0.807321 16.265
98 2.4375 0.748193 16.5225
99 2.4625 0.654314 16.75
100 2.4875 0.882632 17.06
200 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.0776154 0.01
38 0.9375 0.396615 0.0625
39 0.9625 0.791022 0.17
40 0.9875 2.18748 0.475
41 1.0125 3.68985 1.0025
42 1.0375 4.06172 1.5975
43 1.0625 4.21611 2.23
44 1.0875 3.51678 2.77
45 1.1125 3.31043 3.29
46 1.1375 2.2259 3.6475
47 1.1625 2.14757 4
48 1.1875 2.0278 4.34
49 1.2125 1.47489 4.5925
50 1.2375 1.31633 4.8225
51 1.2625 0.841474 4.9725
52 1.2875 0.742621 5.1075
53 1.3125 0.539612 5.2075
54 1.3375 0.516288 5.305
55 1.3625 0.584786 5.4175
56 1.3875 0.370072 5.49
57 1.4125 0.463804 5.5825
58 1.4375 0.3572 5.655
59 1.4625 0.32688 5.7225
60 1.4875 0.321386 5.79
61 1.5125 0.339487 5.8625
62 1.5375 0.356999 5.94
63 1.5625 0.271964 6
64 1.5875 0.345755 6.0775
65 1.6125 0.340395 6.155
66 1.6375 0.400075 6.2475
67 1.6625 0.479261 6.36
