# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0 0
39 0.9625 0 0
40 0.9875 0 0
41 1.0125 0 0
42 1.0375 0 0
43 1.0625 0 0
44 1.0875 0 0
45 1.1125 0 0
46 1.1375 0 0
47 1.1625 0 0
48 1.1875 0 0
49 1.2125 0 0
50 1.2375 0 0
51 1.2625 0 0
52 1.2875 0 0
53 1.3125 0 0
54 1.3375 0 0
55 1.3625 0 0
56 1.3875 0 0
57 1.4125 0 0
58 1.4375 0 0
59 1.4625 0 0
60 1.4875 0 0
61 1.5125 0 0
62 1.5375 0 0
63 1.5625 0 0
64 1.5875 0 0
65 1.6125 0 0
66 1.6375 0 0
67 1.6625 0 0
68 1.6875 0 0
69 1.7125 0 0
70 1.7375 0 0
71 1.7625 0 0
72 1.7875 0 0
73 1.8125 0 0
74 1.8375 46.2524 4
75 1.8625 0 4
76 1.8875 0 4
77 1.9125 0 4
78 1.9375 0 4
79 1.9625 0 4
80 1.9875 0 4
81 2.0125 0 4
82 2.0375 0 4
83 2.0625 0 4
84 2.0875 0 4
85 2.1125 0 4
86 2.1375 0 4
87 2.1625 0 4
88 2.1875 0 4
89 2.2125 0 4
90 2.2375 0 4
91 2.2625 0 4
92 2.2875 0 4
93 2.3125 0 4
94 2.3375 0 4
95 2.3625 0 4
96 2.3875 0 4
97 2.4125 0 4
98 2.4375 0 4
99 2.4625 0 4
100 2.4875 0 4
100 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.0598513 0.0025
37 0.9125 0.0582116 0.005
38 0.9375 0.0566592 0.0075
39 0.9625 0.275938 0.02
40 0.9875 1.02202 0.0675
41 1.0125 0.839396 0.1075
42 1.0375 1.38235 0.175
43 1.0625 1.4998 0.25
44 1.0875 1.90492 0.3475
45 1.1125 1.09817 0.405
46 1.1375 1.07404 0.4625
47 1.1625 1.23371 0.53
48 1.1875 1.07354 0.59
49 1.2125 0.744748 0.6325
50 1.2375 0.901397 0.685
51 1.2625 0.7994 0.7325
52 1.2875 0.495081 0.7625
53 1.3125 0.688005 0.805
54 1.3375 0.834003 0.8575
55 1.3625 1.20856 0.935
56 1.3875 1.07193 1.005
57 1.4125 0.676903 1.05
58 1.4375 1.1455 1.1275
59 1.4625 0.617441 1.17
60 1.4875 0.642773 1.215
61 1.5125 0.877984 1.2775
62 1.5375 0.932805 1.345
63 1.5625 1.08786 1.425
64 1.5875 0.836505 1.4875
65 1.6125 1.15295 1.575
66 1.6375 0.87584 1.6425
67 1.6625 1.30998 1.745
68 1.6875 0.881366 1.815
69 1.7125 0.899517 1.8875
70 1.7375 0.733717 1.9475
71 1.7625 1.1151 2.04
72 1.7875 0.713193 2.1
73 1.8125 1.08434 2.1925
74 1.8375 0.982865 2.2775
75 1.8625 0.827073 2.35
76 1.8875 0.956828 2.435
77 1.9125 0.944321 2.52
78 1.9375 1.28854 2.6375
79 1.9625 0.947328 2.725
80 1.9875 0.935412 2.8125
81 2.0125 1.08216 2.915
82 2.0375 0.834247 2.995
83 2.0625 1.03017 3.095
84 2.0875 0.966939 3.19
85 2.1125 1.03093 3.2925
86 2.1375 1.01887 3.395
87 2.1625 0.859714 3.4825
88 2.1875 1.16556 3.6025
89 2.2125 1.39247 3.7475
90 2.2375 0.949596 3.8475
91 2.2625 1.10345 3.965
92 2.2875 1.11461 4.085
93 2.3125 0.941769 4.1875
94 2.3375 1.06804 4.305
95 2.3625 1.19164 4.4375
96 2.3875 1.06792 4.5575
97 2.4125 1.233 4.6975
98 2.4375 0.784513 4.7875
99 2.4625 0.81969 4.8825
100 2.4875 1.11041 5.0125
200 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0566592 0.0025
39 0.9625 0.551876 0.0275
40 0.9875 0.699276 0.06
41 1.0125 1.46894 0.13
42 1.0375 0.870368 0.1725
43 1.0625 1.89975 0.2675
44 1.0875 1.51417 0.345
45 1.1125 1.67113 0.4325
46 1.1375 1.6811 0.5225
47 1.1625 1.59925 0.61
48 1.1875 1.20774 0.6775
49 1.2125 1.5333 0.765
50 1.2375 1.71695 0.865
51 1.2625 1.17806 0.935
52 1.2875 1.19645 1.0075
53 1.3125 0.89036 1.0625
54 1.3375 1.03258 1.1275
55 1.3625 1.01363 1.1925
56 1.3875 1.03365 1.26
57 1.4125 1.09057 1.3325
58 1.4375 0.960744 1.3975
59 1.4625 0.908001 1.46
60 1.4875 1.14271 1.54
61 1.5125 1.05358 1.615
62 1.5375 1.03645 1.69
63 1.5625 1.18984 1.7775
64 1.5875 0.903425 1.845
65 1.6125 1.05413 1.925
66 1.6375 0.908278 1.995
67 1.6625 0.990472 2.0725
